categories,shipping profile,hazmat,,subcategory categories,subcategories,,condition categories,conditions
,,,,Jewelry,Contemporary Costume,,Beading & Jewelry Making Supplies,Pre-owned - Good
,,,,Jewelry,Fine & Precious Metals,,Beading & Jewelry Making Supplies,Pre-owned - Fair
,,,,Jewelry,Handcrafted & Artisan Jewelry,,Beading & Jewelry Making Supplies,Pre-owned - Damaged
,,,,Jewelry,Men's Jewelry,,Beanie Babies & Boos,New
,,,,Jewelry,Vintage & Antique Jewelry,,Beanie Babies & Boos,Used
,,,,Men's Fashion,Men's Modern,,Blu-ray,Brand New
,,,,Men's Fashion,Men's Vintage Clothing,,Blu-ray,Like New
,,,,Men's Fashion,Other Men's Fashion,,Blu-ray,Very Good
,,,,Men's Fashion,Sports Jerseys,,Blu-ray,Good
,,,,Movies,Blu-ray,,Blu-ray,Fair
,,,,Movies,DVDs,,Blu-ray,Poor
,,,,Movies,Movie Memorabilia,,Books,Brand New
,,,,Movies,VHS,,Books,Like New
,,,,Music,CDs & Cassettes,,Books,Very Good
,,,,Music,Instruments & Accessories,,Books,Good
,,,,Music,Music Memorabilia,,Books,Fair
,,,,Music,Other Music,,Books,Poor
,,,,Music,Vinyl Records,,CDs & Cassettes,Mint (M)
,,,,Outdoor Gear,Camping and Hiking Gear,,CDs & Cassettes,Near mint (NM)
,,,,Outdoor Gear,Lures,,CDs & Cassettes,Excellent (EX)
,,,,Outdoor Gear,Other Fishing Equipment,,CDs & Cassettes,Very Good Plus (VG+)
,,,,Outdoor Gear,Other Outdoors Gear,,CDs & Cassettes,"Very Good (VG), Good Plus (G+)"
,,,,Outdoor Gear,Reels,,CDs & Cassettes,Good (G)
,,,,Outdoor Gear,Rods,,CDs & Cassettes,Poor (P)
,,,,Rocks & Crystals,Crystals & Gems,,CDs & Cassettes,Fair (F)
,,,,Rocks & Crystals,Fossils,,Cameras & Photography,Brand New
,,,,Rocks & Crystals,Other Rocks,,Cameras & Photography,Open-box
,,,,Sneakers & Streetwear,Sneakers,,Cameras & Photography,Refurbished
,,,,Sneakers & Streetwear,Streetwear,,Cameras & Photography,Used and fully functioning
,,,,Sporting Gear,Disc Golf,,Cameras & Photography,"For parts, not fully functioning, or untested"
,,,,Sporting Gear,Golf Accessories,,Coins & Bullion,Poor - Fair
,,,,Sporting Gear,Golf Apparel,,Coins & Bullion,Good - Extremely Fine
,,,,Sporting Gear,Golf Bags,,Coins & Bullion,Uncirculated - Mint
,,,,Sporting Gear,Golf Balls,,Comic Art,Graded
,,,,Sporting Gear,Golf Clubs,,Comic Art,Gem Mint
,,,,Sporting Gear,Golf Shoes,,Comic Art,Mint
,,,,Sporting Gear,Other Golf Items,,Comic Art,Near Mint
,,,,Sporting Gear,Other Sporting Goods,,Comic Art,Very Fine
,,,,Sporting Gear,Pickleball,,Comic Art,Fine
,,,,Sports Cards,AFL Breaks,,Comic Art,Very Good
,,,,Sports Cards,AFL Mystery,,Comic Art,Good
,,,,Sports Cards,AFL Singles,,Comic Art,Fair
,,,,Sports Cards,Baseball Breaks,,Comic Art,Poor
,,,,Sports Cards,Baseball Mystery,,Consoles & Accessories,"Brand New, Factory Sealed"
,,,,Sports Cards,Baseball Singles,,Consoles & Accessories,Open Box
,,,,Sports Cards,Basketball Breaks,,Consoles & Accessories,Refurbished
,,,,Sports Cards,Basketball Mystery,,Consoles & Accessories,Used
,,,,Sports Cards,Basketball Singles,,Consoles & Accessories,For Parts or Not Working
,,,,Sports Cards,F1 Cards,,Contemporary Costume,New
,,,,Sports Cards,Football Breaks,,Contemporary Costume,New with defects
,,,,Sports Cards,Football Mystery,,Contemporary Costume,Pre-owned - Excellent
,,,,Sports Cards,Football Singles,,Contemporary Costume,Pre-owned - Good
,,,,Sports Cards,Hockey Breaks,,Contemporary Costume,Pre-owned - Fair
,,,,Sports Cards,Hockey Mystery,,Contemporary Costume,Pre-owned - Damaged
,,,,Sports Cards,Hockey Singles,,DC Cards,Graded
,,,,Sports Cards,NASCAR Cards,,DC Cards,New
,,,,Sports Cards,Other Sports Cards,,DC Cards,Mint
,,,,Sports Cards,Soccer Breaks,,DC Cards,Near Mint
,,,,Sports Cards,Soccer Mystery,,DC Cards,Light Played
,,,,Sports Cards,Soccer Singles,,DC Cards,Moderately Played
,,,,Sports Cards,UFC Breaks,,DC Cards,Heavily Played
,,,,Sports Cards,UFC Mystery,,DC Cards,Damaged
,,,,Sports Cards,UFC Singles,,DC Figures,Mint
,,,,Sports Cards,Wrestling Breaks,,DC Figures,Near Mint
,,,,Sports Cards,Wrestling Mystery,,DC Figures,Good
,,,,Sports Cards,Wrestling Singles,,DC Figures,Fair
,,,,Sports Memorabilia,Baseball Bats,,DC Figures,Poor
,,,,Sports Memorabilia,Baseball Jerseys,,DVDs,Brand New
,,,,Sports Memorabilia,Baseball Photos,,DVDs,Like New
,,,,Sports Memorabilia,Baseballs,,DVDs,Very Good
,,,,Sports Memorabilia,Basketball Jerseys,,DVDs,Good
,,,,Sports Memorabilia,Basketball Photos,,DVDs,Fair
,,,,Sports Memorabilia,Basketballs,,DVDs,Poor
,,,,Sports Memorabilia,Football Jerseys,,Diecast Cars,Mint
,,,,Sports Memorabilia,Football Photos,,Diecast Cars,Near Mint
,,,,Sports Memorabilia,Footballs,,Diecast Cars,Good
,,,,Sports Memorabilia,Helmets,,Diecast Cars,Fair
,,,,Sports Memorabilia,Other Baseball Memorabilia,,Diecast Cars,Poor
,,,,Sports Memorabilia,Other Basketball Memorabilia,,Digimon Cards,Graded
,,,,Sports Memorabilia,Other Football Memorabilia,,Digimon Cards,New
,,,,Sports Memorabilia,Other Soccer Memorabilia,,Digimon Cards,Mint
,,,,Sports Memorabilia,Other Sports Memorabilia,,Digimon Cards,Near Mint
,,,,Sports Memorabilia,Soccer Balls,,Digimon Cards,Light Played
,,,,Sports Memorabilia,Soccer Jerseys,,Digimon Cards,Moderately Played
,,,,Sports Memorabilia,Soccer Photos,,Digimon Cards,Heavily Played
,,,,Toys & Hobbies,Barbie,,Digimon Cards,Damaged
,,,,Toys & Hobbies,Beanie Babies & Boos,,Disney Cards,Graded
,,,,Toys & Hobbies,Bearbrick,,Disney Cards,New
,,,,Toys & Hobbies,Board Games,,Disney Cards,Mint
,,,,Toys & Hobbies,D&D & Role-playing Games,,Disney Cards,Near Mint
,,,,Toys & Hobbies,Diecast Cars,,Disney Cards,Light Played
,,,,Toys & Hobbies,Disney Plush,,Disney Cards,Moderately Played
,,,,Toys & Hobbies,Fast Food & Cereal Toys,,Disney Cards,Heavily Played
,,,,Toys & Hobbies,FigPin,,Disney Cards,Damaged
,,,,Toys & Hobbies,Funko Pop!,,Disney Pins,New
,,,,Toys & Hobbies,Funko Soda,,Disney Pins,Used
,,,,Toys & Hobbies,Kawaii,,Disney Plush,New
,,,,Toys & Hobbies,LEGO Minifigures,,Disney Plush,Used
,,,,Toys & Hobbies,LEGO Sets,,Dragon Ball Cards,Graded
,,,,Toys & Hobbies,Labubu & Blindboxes,,Dragon Ball Cards,New
,,,,Toys & Hobbies,Models & Kits,,Dragon Ball Cards,Mint
,,,,Toys & Hobbies,Monster High,,Dragon Ball Cards,Near Mint
,,,,Toys & Hobbies,Other Designer Toys,,Dragon Ball Cards,Light Played
,,,,Toys & Hobbies,Other Diecast,,Dragon Ball Cards,Moderately Played
,,,,Toys & Hobbies,Other Dolls,,Dragon Ball Cards,Heavily Played
,,,,Toys & Hobbies,Other Funko Products,,Dragon Ball Cards,Damaged
